segment_id,page,type,confidence,figure_number,caption,linked_concepts,summary
visual_Investments_p123_image_p123_p122_b31,123,figure,0.3,,SCHWESER,0,Visual element detected (classification unavailable)
visual_Investments_p125_image_p125_p124_b27,125,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p141_image_p141_p140_b6,141,figure,0.3,,"Figure 4.2 Growth of U.S. ETFs over time Source: 2021 Investment Company Fact Book, Investment Compa",0,Visual element detected (classification unavailable)
visual_Investments_p142_image_p142_p141_b6,142,figure,0.3,,"Investment Company Assets Under Management, United States ($ Trillion)",0,Visual element detected (classification unavailable)
visual_Investments_p142_image_p142_p141_b8,142,figure,0.3,,"Assets Under Management, Open End Funds, World (Assets in $ Trillions) Figure 4.3 Investment company",0,Visual element detected (classification unavailable)
visual_Investments_p145_image_p145_p144_b2,145,figure,0.3,,"Figure 4.4 Rates of return on actively managed U.S. equity funds versus Wilshire 5000 index, 1971–20",0,Visual element detected (classification unavailable)
visual_Investments_p147_image_p147_p146_b12,147,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p147_image_p147_p146_b21,147,figure,0.3,,"Growth of10,000",0,Visual element detected (classification unavailable)
visual_Investments_p154_image_p154_p153_b2,154,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p160_image_p160_p159_b5,160,figure,0.3,,Figure 5.1 Determination of the equilibrium real rate of interest,0,Visual element detected (classification unavailable)
visual_Investments_p162_image_p162_p161_b2,162,figure,0.3,,"Figure 5.2 Interest and inflation rates, 1927–2021.",0,Visual element detected (classification unavailable)
visual_Investments_p167_image_p167_p166_b2,167,figure,0.3,,"Figure 5.3 Frequency distribution of monthly rate of return on the broad market index, 1927–2021.",0,Visual element detected (classification unavailable)
visual_Investments_p168_image_p168_p167_b5,168,figure,0.3,,Figure 5.4 The normal distribution with mean $10 \%$ and standard deviation $20 \%$,0,Visual element detected (classification unavailable)
visual_Investments_p169_image_p169_p168_b10,169,figure,0.3,,"Figure 5.5 Normal and skewed distributions (mean $= 6 \%$ , $\mathsf { S D } = 1 7 \%$",0,Visual element detected (classification unavailable)
visual_Investments_p170_image_p170_p169_b4,170,figure,0.3,,"Figure 5.6 Normal and fat-tailed distributions (mean $=$ .1, $\mathsf { S D } = . 2$ )",0,Visual element detected (classification unavailable)
visual_Investments_p178_image_p178_p177_b3,178,figure,0.3,,Panel A: Treasury Bills,0,Visual element detected (classification unavailable)
visual_Investments_p178_image_p178_p177_b5,178,figure,0.3,,Panel B: 30-Year Treasury Bonds,0,Visual element detected (classification unavailable)
visual_Investments_p178_image_p178_p177_b7,178,figure,0.3,,"Panel C: Common Stocks Figure 5.7 Frequency distribution of annual returns on U.S. Treasury bills, T",0,Visual element detected (classification unavailable)
visual_Investments_p179_image_p179_p178_b5,179,figure,0.3,,Figure 5.8 Annualized standard deviation of the monthly excess return on the market index portfolio ,0,Visual element detected (classification unavailable)
visual_Investments_p180_image_p180_p179_b2,180,figure,0.3,,"Figure 5.9 Frequency distribution of monthly excess returns on the market index (the first, solid ba",0,Visual element detected (classification unavailable)
visual_Investments_p184_image_p184_p183_b3,184,figure,0.3,,Panel A: Risk Premia,0,Visual element detected (classification unavailable)
visual_Investments_p184_image_p184_p183_b5,184,figure,0.3,,"Panel B: Sharpe Ratios Figure 5.10 The risk–return trade-off, 1900—2020, international evidence Sour",0,Visual element detected (classification unavailable)
visual_Investments_p186_image_p186_p185_b3,186,figure,0.3,,Panel A: 6 months,0,Visual element detected (classification unavailable)
visual_Investments_p186_image_p186_p185_b5,186,figure,0.3,,Panel B: 20 months,0,Visual element detected (classification unavailable)
visual_Investments_p186_image_p186_p185_b7,186,figure,0.3,,Panel C: 40 months Figure 5.11 Frequency distribution of final portfolio value after different numbe,0,Visual element detected (classification unavailable)
visual_Investments_p192_image_p192_p191_b32,192,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p196_image_p196_p195_b2,196,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p200_image_p200_p199_b2,200,figure,0.3,,"Figure 6.1 The trade-off between risk and return of a potential investment portfolio, P",0,Visual element detected (classification unavailable)
visual_Investments_p200_image_p200_p199_b11,200,figure,0.3,,Figure 6.2 The indifference curve,0,Visual element detected (classification unavailable)
visual_Investments_p206_image_p206_p205_b13,206,figure,0.3,,Figure 6.3 The investment opportunity set with a risky asset and a risk-free asset in the expected r,0,Visual element detected (classification unavailable)
visual_Investments_p208_image_p208_p207_b5,208,figure,0.3,,Figure 6.4 The investment opportunity set with different borrowing and lending rates,0,Visual element detected (classification unavailable)
visual_Investments_p209_image_p209_p208_b9,209,figure,0.3,,"Figure 6.5 Utility as a function of allocation to the risky asset, y",0,Visual element detected (classification unavailable)
visual_Investments_p211_image_p211_p210_b7,211,figure,0.3,,Figure 6.6 Indifference curves. Each point shows the expected return required to provide a utility s,0,Visual element detected (classification unavailable)
visual_Investments_p212_image_p212_p211_b2,212,figure,0.3,,Figure 6.7 Finding the optimal complete portfolio by using indifference curves,0,Visual element detected (classification unavailable)
visual_Investments_p220_image_p220_p219_b29,220,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p221_image_p221_p220_b12,221,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p222_image_p222_p221_b16,222,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p224_image_p224_p223_b10,224,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p226_image_p226_p225_b5,226,figure,0.3,,Figure 6A.1 Utility of wealth with a log utility function,0,Visual element detected (classification unavailable)
visual_Investments_p227_image_p227_p226_b3,227,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p227_image_p227_p226_b10,227,figure,0.3,,Figure 6A.2 Fair games and expected utility,0,Visual element detected (classification unavailable)
visual_Investments_p231_image_p231_p230_b8,231,figure,0.3,,A,0,Visual element detected (classification unavailable)
visual_Investments_p231_image_p231_p230_b10,231,figure,0.3,,B Figure 7.1 Portfolio risk as a function of the number of stocks in the portfolio. Panel A: All ris,0,Visual element detected (classification unavailable)
visual_Investments_p232_image_p232_p231_b2,232,figure,0.3,,Figure 7.2 Portfolio diversification. The average annualized standard deviation of returns of portfo,0,Visual element detected (classification unavailable)
visual_Investments_p237_image_p237_p236_b2,237,figure,0.3,,Figure 7.3 Portfolio expected return as a function of investment proportions,0,Visual element detected (classification unavailable)
visual_Investments_p237_image_p237_p236_b5,237,figure,0.3,,Figure 7.4 Portfolio standard deviation as a function of investment proportions,0,Visual element detected (classification unavailable)
visual_Investments_p239_image_p239_p238_b2,239,figure,0.3,,Figure 7.5 Portfolio expected return as a function of standard deviation,0,Visual element detected (classification unavailable)
visual_Investments_p240_image_p240_p239_b16,240,figure,0.3,,Figure 7.6 The opportunity set of the debt and equity funds and two feasible CALs,0,Visual element detected (classification unavailable)
visual_Investments_p241_image_p241_p240_b2,241,figure,0.3,,Figure 7.7 The opportunity set of the debt and equity funds with the optimal CAL and the optimal ris,0,Visual element detected (classification unavailable)
visual_Investments_p243_image_p243_p242_b6,243,figure,0.3,,Figure 7.8 Determination of the optimal complete portfolio,0,Visual element detected (classification unavailable)
visual_Investments_p243_image_p243_p242_b8,243,figure,0.3,,Figure 7.9 The proportions of the optimal complete portfolio,0,Visual element detected (classification unavailable)
visual_Investments_p244_image_p244_p243_b11,244,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p246_image_p246_p245_b6,246,figure,0.3,,Figure 7.10 The minimum-variance frontier of risky assets,0,Visual element detected (classification unavailable)
visual_Investments_p246_image_p246_p245_b11,246,figure,0.3,,Figure 7.11 The efficient frontier of risky assets with the optimal CAL,0,Visual element detected (classification unavailable)
visual_Investments_p247_image_p247_p246_b8,247,figure,0.3,,Figure 7.12 The efficient portfolio set,0,Visual element detected (classification unavailable)
visual_Investments_p249_image_p249_p248_b2,249,figure,0.3,,Figure 7.13 Capital allocation lines with various portfolios from the efficient set,0,Visual element detected (classification unavailable)
visual_Investments_p260_image_p260_p259_b28,260,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p270_image_p270_p269_b3,270,figure,0.3,,A,0,Visual element detected (classification unavailable)
visual_Investments_p270_image_p270_p269_b5,270,figure,0.3,,B Figure 7A.1 Solver dialog box,0,Visual element detected (classification unavailable)
visual_Investments_p271_image_p271_p270_b10,271,figure,0.3,,Figure 7A.2 Efficient frontier and CAL for country stock indexes,0,Visual element detected (classification unavailable)
visual_Investments_p284_image_p284_p283_b2,284,figure,0.3,,Figure 8.1 Scatter diagram for U.S. Steel against the market index and U.S. Steel’s security charact,0,Visual element detected (classification unavailable)
visual_Investments_p289_image_p289_p288_b2,289,figure,0.3,,Figure 8.2 The variance of an equally weighted portfolio with risk coefficient $\beta _ { P }$ in th,0,Visual element detected (classification unavailable)
visual_Investments_p290_image_p290_p289_b14,290,figure,0.3,,"Figure 8.3 Excess monthly returns on U.S. Steel and the market index, 5 years ending December 2021.",0,Visual element detected (classification unavailable)
visual_Investments_p305_image_p305_p304_b2,305,figure,0.3,,Figure 8.4 Efficient frontier constructed from the index model and the full-covariance matrix,0,Visual element detected (classification unavailable)
visual_Investments_p308_image_p308_p307_b3,308,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p308_image_p308_p307_b4,308,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p310_image_p310_p309_b3,310,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p314_image_p314_p313_b7,314,figure,0.3,,A: The E cient Frontier of Risky Assets with the Optimal CAL B: The E cient Frontier and the Capital,0,Visual element detected (classification unavailable)
visual_Investments_p314_image_p314_p313_b9,314,figure,0.3,,Figure 9.1 Capital allocation line and the capital market line,0,Visual element detected (classification unavailable)
visual_Investments_p321_image_p321_p320_b2,321,figure,0.3,,Figure 9.2 The security market line,0,Visual element detected (classification unavailable)
visual_Investments_p322_image_p322_p321_b4,322,figure,0.3,,"Figure 9.3 The SML and a positive-alpha stock. The risk-free rate is $6 \%$ , and the market’s expec",0,Visual element detected (classification unavailable)
visual_Investments_p332_image_p332_p331_b2,332,figure,0.3,,Figure 9.4 The relationship between illiquidity and average returns Source: Derived from Yakov Amihu,0,Visual element detected (classification unavailable)
visual_Investments_p337_image_p337_p336_b2,337,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p337_image_p337_p336_b4,337,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p339_image_p339_p338_b15,339,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p342_image_p342_p341_b14,342,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p350_image_p350_p349_b2,350,figure,0.3,,Figure 10.1 Scatter diagram for a single stock (Intel) and a diversified mutual fund (Vanguard Growt,0,Visual element detected (classification unavailable)
visual_Investments_p351_image_p351_p350_b2,351,figure,0.3,,A,0,Visual element detected (classification unavailable)
visual_Investments_p351_image_p351_p350_b4,351,figure,0.3,,"B Figure 10.2 Excess returns as a function of the systematic factor: Panel A, Well-diversified portf",0,Visual element detected (classification unavailable)
visual_Investments_p352_image_p352_p351_b2,352,figure,0.3,,Figure 10.3 Returns as a function of the systematic factor: An arbitrage opportunity,0,Visual element detected (classification unavailable)
visual_Investments_p353_image_p353_p352_b2,353,figure,0.3,,Figure 10.4 An arbitrage opportunity,0,Visual element detected (classification unavailable)
visual_Investments_p365_image_p365_p364_b11,365,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p367_image_p367_p366_b21,367,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p372_image_p372_p371_b5,372,figure,0.3,,Figure 11.1 Cumulative abnormal returns before takeover attempts: target companies. Source: This is ,0,Visual element detected (classification unavailable)
visual_Investments_p373_image_p373_p372_b2,373,figure,0.3,,Figure 11.2 Stock price reaction to CNBC reports. The figure shows the reaction of stock prices to o,0,Visual element detected (classification unavailable)
visual_Investments_p387_image_p387_p386_b2,387,figure,0.3,,Figure 11.3 Real (inflation-adjusted) value of S&P 500 and two estimates of intrinsic value obtained,0,Visual element detected (classification unavailable)
visual_Investments_p390_image_p390_p389_b2,390,figure,0.3,,"Figure 11.4 Average annual return for 10 size-based portfolios, 1926–2021. Source: Authors’ calculat",0,Visual element detected (classification unavailable)
visual_Investments_p391_image_p391_p390_b2,391,figure,0.3,,"Figure 11.5 Average return as a function of book-to-market ratio, 1926–2021. Source: Authors’ calcul",0,Visual element detected (classification unavailable)
visual_Investments_p392_image_p392_p391_b6,392,figure,0.3,,Figure 11.6 Cumulative abnormal returns in response to earnings announcements Source: R. J. Rendlema,0,Visual element detected (classification unavailable)
visual_Investments_p395_image_p395_p394_b2,395,figure,0.3,,Figure 11.7 Return to style portfolios as predictors of GDP growth. Average difference in the return,0,Visual element detected (classification unavailable)
visual_Investments_p400_image_p400_p399_b2,400,figure,0.3,,"Figure 11.8 Mutual fund alphas computed using a four-factor model of expected return, 1993–2007. (Th",0,Visual element detected (classification unavailable)
visual_Investments_p401_image_p401_p400_b2,401,figure,0.3,,Figure 11.9 Risk-adjusted performance in ranking quarter and following quarter,0,Visual element detected (classification unavailable)
visual_Investments_p406_image_p406_p405_b10,406,figure,0.3,,"Source: Nejat H. Seyhun, “Insiders, Profits, Costs of Trading and Market Efficiency,” Journal of Fin",0,Visual element detected (classification unavailable)
visual_Investments_p407_image_p407_p406_b6,407,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p409_image_p409_p408_b3,409,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p417_image_p417_p416_b3,417,figure,0.3,,A: Conventional Utility Function,0,Visual element detected (classification unavailable)
visual_Investments_p417_image_p417_p416_b5,417,figure,0.3,,B: Utility Function under Prospect Theory Figure 12.1 Prospect theory. Panel A: A conventional utili,0,Visual element detected (classification unavailable)
visual_Investments_p419_image_p419_p418_b2,419,figure,0.3,,Figure 12.2 Pricing of Royal Dutch relative to Shell (deviation from parity) Source: O. A. Lamont an,0,Visual element detected (classification unavailable)
visual_Investments_p425_image_p425_p424_b2,425,figure,0.3,,"Figure 12.3 Share price and 25-day moving average for Intel Source: Yahoo! Finance, February 1, 2022",0,Visual element detected (classification unavailable)
visual_Investments_p425_image_p425_p424_b5,425,figure,0.3,,Figure 12.4 Moving averages,0,Visual element detected (classification unavailable)
visual_Investments_p426_image_p426_p425_b4,426,figure,0.3,,"Figure 12.5 Market Diary Source: The Wall Street Journal, February 1, 2022.",0,Visual element detected (classification unavailable)
visual_Investments_p429_image_p429_p428_b8,429,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p429_image_p429_p428_b9,429,figure,0.3,,"Friday closing levels, December 30, 1955–December 28, 1956, Dow Jones Industrial Average Figure 12.6",0,Visual element detected (classification unavailable)
visual_Investments_p430_image_p430_p429_b2,430,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p430_image_p430_p429_b3,430,figure,0.3,,"Changes from Friday to Friday (closing) January 6, 1956–December 28, 1956, Dow Jones Industrial Aver",0,Visual element detected (classification unavailable)
visual_Investments_p431_image_p431_p430_b13,431,figure,0.3,,SCHWESER,0,Visual element detected (classification unavailable)
visual_Investments_p431_image_p431_p430_b27,431,figure,0.3,,SCHWESER,0,Visual element detected (classification unavailable)
visual_Investments_p434_image_p434_p433_b9,434,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p450_image_p450_p449_b5,450,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p450_image_p450_p449_b6,450,figure,0.3,,Figure 13.1 CAPM versus the Fama and French model. The figure plots the average actual returns versu,0,Visual element detected (classification unavailable)
visual_Investments_p451_image_p451_p450_b2,451,figure,0.3,,Figure 13.2 Difference in return to factor portfolios in year prior to above-average versus below-av,0,Visual element detected (classification unavailable)
visual_Investments_p452_image_p452_p451_b2,452,figure,0.3,,"Figure 13.3 The book-to-market ratio reflects past growth, but not future growth prospects. B/M tend",0,Visual element detected (classification unavailable)
visual_Investments_p453_image_p453_p452_b2,453,figure,0.3,,"Figure 13.4 Value minus growth returns surrounding earnings announcements, 1971–1992. Announcement e",0,Visual element detected (classification unavailable)
visual_Investments_p454_image_p454_p453_b6,454,figure,0.3,,"Figure 13.5 Published risk factors appearing in the finance literature Source: Campbell Harvey, Yan ",0,Visual element detected (classification unavailable)
visual_Investments_p458_image_p458_p457_b2,458,figure,0.3,,Figure 13.6 Alphas of value-weighted portfolios sorted on liquidity betas Source: L. Pástor and R. F,0,Visual element detected (classification unavailable)
visual_Investments_p460_image_p460_p459_b4,460,figure,0.3,,"Figure 13.7 Cross section of stock returns: Fama-French 25 portfolios, 1954–2003.",0,Visual element detected (classification unavailable)
visual_Investments_p462_image_p462_p461_b4,462,figure,0.3,,Figure 13.8 Real returns on global stock markets. The figure displays average real returns for 39 ma,0,Visual element detected (classification unavailable)
visual_Investments_p466_image_p466_p465_b20,466,figure,0.3,,,0,Visual element detected (classification unavailable)
visual_Investments_p478_image_p478_p477_b11,478,figure,0.3,,Figure 14.3 The inverse relationship between bond values and the interest rate. Value of an $8 \%$ c,0,Visual element detected (classification unavailable)
visual_Investments_p484_image_p484_p483_b4,484,figure,0.3,,Figure 14.4 Bond values: Callable and straight debt (coupon $=$ $8 \%$ ; maturity $= 3 0$ years; sem,0,Visual element detected (classification unavailable)
visual_Investments_p485_image_p485_p484_b9,485,figure,0.3,,A: Reinvestment Rate $= 1 0 \%$,0,Visual element detected (classification unavailable)
visual_Investments_p485_image_p485_p484_b11,485,figure,0.3,,B: Reinvestment Rate $= 8 \%$ Figure 14.5 Growth of invested funds,0,Visual element detected (classification unavailable)
visual_Investments_p488_image_p488_p487_b4,488,figure,0.3,,"Figure 14.6 Price path of two 30-year maturity bonds, each sell- ing at a yield to maturity of $8 \%",0,Visual element detected (classification unavailable)
visual_Investments_p490_image_p490_p489_b11,490,figure,0.3,,Figure 14.7 The price of a 30-year zero-coupon bond over time at a yield to maturity of $10 \%$ . Pr,0,Visual element detected (classification unavailable)
visual_Investments_p495_image_p495_p494_b2,495,figure,0.3,,Figure 14.9 Discriminant analysis,0,Visual element detected (classification unavailable)
visual_Investments_p499_image_p499_p498_b2,499,figure,0.3,,Figure 14.11 Yield spreads between corporate and 10-year Treasury bonds Source: Federal Reserve Bank,0,Visual element detected (classification unavailable)
visual_Investments_p500_image_p500_p499_b6,500,figure,0.3,,*5-year Greek government bond yield spread over German government bonds Figure 14.12 Prices of 5-yea,0,Visual element detected (classification unavailable)
